Pokemon,Pokeball,Probability
jolteon,pokeball,0.07
jolteon,ultraball,0.11
jolteon,heavyball,0.01
jolteon,fastball,0.22
caterpie,pokeball,0.35
caterpie,ultraball,0.62
caterpie,heavyball,0.26
caterpie,fastball,0.36
snorlax,pokeball,0.02
snorlax,ultraball,0.11
snorlax,heavyball,0.13
snorlax,fastball,0.01
onix,pokeball,0.06
onix,ultraball,0.13
onix,heavyball,0.13
onix,fastball,0.04
mewtwo,pokeball,0.0
mewtwo,ultraball,0.01
mewtwo,heavyball,0.0
mewtwo,fastball,0.0
